prompt,file_name
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-modern-minimal-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-modern-minimal-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-modern-minimal-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-modern-minimal-sidebar-layout.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-bold-dramatic-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-bold-dramatic-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-bold-dramatic-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-bold-dramatic-sidebar-layout.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Corporate Professional | Traditional business aesthetic with trust and credibility | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-corporate-professional-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Corporate Professional | Traditional business aesthetic with trust and credibility | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-corporate-professional-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Corporate Professional | Traditional business aesthetic with trust and credibility | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-corporate-professional-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Corporate Professional | Traditional business aesthetic with trust and credibility | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-corporate-professional-sidebar-layout.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Futuristic & Tech | Innovative design with gradients, glass effects, and animations | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-futuristic-tech-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Futuristic & Tech | Innovative design with gradients, glass effects, and animations | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-futuristic-tech-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Futuristic & Tech | Innovative design with gradients, glass effects, and animations | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-futuristic-tech-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Futuristic & Tech | Innovative design with gradients, glass effects, and animations | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-futuristic-tech-sidebar-layout.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Playful & Fun | Bright colors, rounded shapes, and friendly illustrations | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-playful-fun-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Playful & Fun | Bright colors, rounded shapes, and friendly illustrations | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-playful-fun-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Playful & Fun | Bright colors, rounded shapes, and friendly illustrations | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-playful-fun-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Playful & Fun | Bright colors, rounded shapes, and friendly illustrations | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-playful-fun-sidebar-layout.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Luxury & Elegant | Sophisticated with premium fonts, subtle animations, and refinement | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",e-commerce-luxury-elegant-full-width-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Luxury & Elegant | Sophisticated with premium fonts, subtle animations, and refinement | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",e-commerce-luxury-elegant-split-screen-hero.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Luxury & Elegant | Sophisticated with premium fonts, subtle animations, and refinement | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",e-commerce-luxury-elegant-bento-box-grid.png
"Website Type: E-Commerce | Online store with product catalog, shopping cart, and checkout | Visual Style: Luxury & Elegant | Sophisticated with premium fonts, subtle animations, and refinement | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",e-commerce-luxury-elegant-sidebar-layout.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",portfolio-modern-minimal-full-width-hero.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",portfolio-modern-minimal-split-screen-hero.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",portfolio-modern-minimal-bento-box-grid.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Modern Minimal | Clean, spacious design with focus on content and whitespace | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",portfolio-modern-minimal-sidebar-layout.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Full-Width Hero | Large hero section spanning full viewport with centered content",portfolio-bold-dramatic-full-width-hero.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Split-Screen Hero | Hero divided into two columns - content on left, visual on right",portfolio-bold-dramatic-split-screen-hero.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Bento Box Grid | Modern grid layout with cards of varying sizes",portfolio-bold-dramatic-bento-box-grid.png
"Website Type: Portfolio | Showcase work, projects, and professional experience | Visual Style: Bold & Dramatic | High contrast, vibrant colors, and striking typography | Layout Structure: Sidebar Layout | Fixed navigation sidebar with main content area",portfolio-bold-dramatic-sidebar-layout.png
